,County_Name,Pop_Size,Land_Area(Sq.Km),Pop_density_per_Sqkm,Male,Female,Intersex,No_of_Households,Avg_Household_Size,Region,Scaled_Pop_Size,Scaled_Male,Scaled_Female,Scaled_No_of_Households
0,Mombasa,1208333,219.9,5495,610257,598046,30,378422,3.1,Coast,1208.333,610.257,598.046,378.422
1,Kwale,866820,8267.1,105,425121,441681,18,173176,5.0,Coast,866.82,425.121,441.681,173.176
2,Kilifi,1453787,12539.7,116,704089,749673,25,298472,4.8,Coast,1453.787,704.089,749.673,298.472
3,Tana River,315943,37950.5,8,158550,157391,2,68242,4.6,Coast,315.943,158.55,157.391,68.242
4,Lamu,143920,6253.3,23,76103,67813,4,37963,3.7,Coast,143.92,76.103,67.813,37.963
5,Taita-Taveta,340671,17152.0,20,173337,167327,7,96429,3.5,Coast,340.671,173.337,167.327,96.429
6,Garissa,841353,44736.0,19,458975,382344,34,141394,5.9,North_Eastern,841.353,458.975,382.344,141.394
7,Wajir,781263,56773.1,14,415374,365840,49,127932,6.1,North_Eastern,781.263,415.374,365.84,127.932
8,Mandera,867457,25939.8,33,434976,432444,37,125763,6.9,North_Eastern,867.457,434.976,432.444,125.763
9,Marsabit,459785,70944.1,6,243548,216219,18,77495,5.8,Eastern,459.785,243.548,216.219,77.495
10,Isiolo,268002,25350.6,11,139510,128483,9,58072,4.6,Eastern,268.002,139.51,128.483,58.072
11,Meru,1545714,7006.3,221,767698,777975,41,426360,3.6,Eastern,1545.714,767.698,777.975,426.36
12,Tharaka-Nithi,393177,2564.4,153,193764,199406,7,109860,3.6,Eastern,393.177,193.764,199.406,109.86
13,Embu,608599,2820.7,216,304208,304367,24,182743,3.3,Eastern,608.599,304.208,304.367,182.743
14,Kitui,1136187,30429.5,37,549003,587151,33,262942,4.3,Eastern,1136.187,549.003,587.151,262.942
15,Machakos,1421932,6042.7,235,710707,711191,34,402466,3.5,Eastern,1421.932,710.707,711.191,402.466
16,Makueni,987653,8169.8,121,489691,497942,20,244669,4.0,Eastern,987.653,489.691,497.942,244.669
17,Nyandarua,638289,3285.7,194,315022,323247,20,179686,3.5,Central,638.289,315.022,323.247,179.686
18,Nyeri,759164,3325.0,228,374288,384845,31,248050,3.0,Central,759.164,374.288,384.845,248.05
19,Kirinyaga,610411,1478.3,413,302011,308369,31,204188,3.0,Central,610.411,302.011,308.369,204.188
20,Murang'a,1056640,2524.2,419,523940,532669,31,318105,3.3,Central,1056.64,523.94,532.669,318.105
21,Kiambu,2417735,2538.6,952,1187146,1230454,135,795241,3.0,Central,2417.735,1187.146,1230.454,795.241
22,Turkana,926976,68232.9,14,478087,448868,21,164519,5.6,Rift_Valley,926.976,478.087,448.868,164.519
23,West Pokot,621241,9123.2,68,307013,314213,15,116182,5.3,Rift_Valley,621.241,307.013,314.213,116.182
24,Samburu,310327,21065.1,15,156774,153546,7,65910,4.7,Rift_Valley,310.327,156.774,153.546,65.91
25,Trans Nzoia,990341,2495.2,397,489107,501206,28,223808,4.4,Rift_Valley,990.341,489.107,501.206,223.808
26,Uasin Gishu,1163186,3392.2,343,580269,582889,28,304943,3.8,Rift_Valley,1163.186,580.269,582.889,304.943
27,Elgeyo-Marakwet,454480,3032.0,150,227317,227151,12,99861,4.5,Rift_Valley,454.48,227.317,227.151,99.861
28,Nandi,885711,2855.8,310,441259,444430,22,199426,4.4,Rift_Valley,885.711,441.259,444.43,199.426
29,Baringo,666763,10976.4,61,336322,330428,13,142518,4.7,Rift_Valley,666.763,336.322,330.428,142.518
30,Laikipia,518560,9532.2,54,259440,259102,18,149271,3.4,Rift_Valley,518.56,259.44,259.102,149.271
31,Nakuru,2162202,7462.4,290,1077272,1084835,95,616046,3.5,Rift_Valley,2162.202,1077.272,1084.835,616.046
32,Narok,1157873,17950.3,65,579042,578805,26,241125,4.8,Rift_Valley,1157.873,579.042,578.805,241.125
33,Kajiado,1117840,21871.1,51,557098,560704,38,316179,3.5,Rift_Valley,1117.84,557.098,560.704,316.179
34,Kericho,901777,2436.1,370,450741,451008,28,206036,4.4,Rift_Valley,901.777,450.741,451.008,206.036
35,Bomet,875689,2530.9,346,434287,441379,23,187641,4.7,Rift_Valley,875.689,434.287,441.379,187.641
36,Kakamega,1867579,3020.0,618,897133,970406,40,433207,4.3,Western,1867.579,897.133,970.406,433.207
37,Vihiga,590013,563.8,1047,283678,306323,12,143365,4.1,Western,590.013,283.678,306.323,143.365
38,Bungoma,1670570,3023.9,552,812146,858389,35,358796,4.6,Western,1670.57,812.146,858.389,358.796
39,Busia,893681,1696.3,527,426252,467401,28,198152,4.5,Western,893.681,426.252,467.401,198.152
40,Siaya,993183,2529.8,393,471669,521496,18,250698,3.9,Nyanza,993.183,471.669,521.496,250.698
41,Kisumu,1155574,2085.4,554,560942,594609,23,300745,3.8,Nyanza,1155.574,560.942,594.609,300.745
42,Homa Bay,1131950,3152.5,359,539560,592367,23,262036,4.3,Nyanza,1131.95,539.56,592.367,262.036
43,Migori,1116436,2613.5,427,536187,580214,35,240168,4.6,Nyanza,1116.436,536.187,580.214,240.168
44,Kisii,1266860,1323.0,958,605784,661038,38,308054,4.1,Nyanza,1266.86,605.784,661.038,308.054
45,Nyamira,605576,897.3,675,290907,314656,13,150669,4.0,Nyanza,605.576,290.907,314.656,150.669
46,Nairobi,4397073,703.9,6247,2192452,2204376,245,1506888,2.9,Nairobi,4397.073,2192.452,2204.376,1506.888
